,City,Country,Latitude,Longitude,Temperature,Max Temperature,Cloudiness,Humidity,Wind Speed,Date/Time
0,Busselton,AU,-33.65,115.3333,62.76,64.99,0,78,3.0,1612047319
1,Parry Sound,CA,45.3501,-80.033,17.6,17.6,33,62,4.47,1612047240
2,Provideniya,RU,64.3833,-173.3,-12.08,-12.08,84,83,11.72,1612047388
3,Ponta do Sol,PT,32.6667,-17.1,55.69,60.01,52,76,1.99,1612047326
4,Seymchan,RU,62.8833,152.4333,-29.45,-29.45,100,81,7.85,1612047464
5,Hobart,AU,-42.8794,147.3294,65.34,68.0,20,48,11.5,1612047272
6,Morehead,US,37.2711,-87.1764,43.79,45.0,90,56,13.8,1612047466
7,Albany,US,42.6001,-73.9662,17.37,18.0,14,55,13.0,1612047315
8,George Town,MY,5.4112,100.3354,74.93,77.0,20,83,3.44,1612047320
9,Hilo,US,19.7297,-155.09,73.98,78.8,1,61,5.75,1612047467
10,Araxá,BR,-19.5933,-46.9406,69.55,69.55,70,74,2.08,1612047470
11,Pisco,PE,-13.7,-76.2167,73.24,73.4,0,73,19.57,1612047340
12,Oktyabr'skiy,RU,54.4815,53.471,22.62,22.62,90,97,8.32,1612047472
13,Castro,BR,-24.7911,-50.0119,65.77,65.77,100,97,1.68,1612047312
14,Warmbad,NA,-28.45,18.7333,73.2,73.2,0,38,11.25,1612047418
15,Torbay,CA,47.6666,-52.7314,27.99,28.99,90,93,10.36,1612047331
16,Butaritari,KI,3.0707,172.7902,81.21,81.21,100,77,16.58,1612047323
17,Leningradskiy,RU,69.3833,178.4167,-27.51,-27.51,0,81,3.24,1612047349
18,Mataura,NZ,-46.1927,168.8643,66.88,66.88,78,46,2.48,1612047317
19,Fort Nelson,CA,58.8053,-122.7002,-7.6,-7.6,75,64,2.3,1612047480
20,Harindānga,IN,22.0383,88.3214,53.6,53.6,0,87,3.44,1612047481
21,New Norfolk,AU,-42.7826,147.0587,62.78,68.0,12,60,1.01,1612047314
22,Lebu,CL,-37.6167,-73.65,59.4,59.4,2,77,12.82,1612047342
23,Santa Rosa,PH,14.3122,121.1114,71.19,71.6,20,78,2.3,1612047485
24,Clyde River,CA,70.4692,-68.5914,-18.4,-18.4,1,76,7.31,1612047330
25,Hope,US,33.6671,-93.5916,59.0,59.0,82,74,8.99,1612047487
26,Batagay-Alyta,RU,67.8006,130.4114,-37.08,-37.08,94,80,2.13,1612047488
27,Harper,LR,4.375,-7.7169,78.42,78.42,34,87,6.89,1612047489
28,The Pas,CA,53.8251,-101.2541,15.8,15.8,90,86,2.3,1612047490
29,Vaini,TO,-21.2,-175.2,82.4,82.4,75,83,6.91,1612047314
30,Mandalgovi,MN,45.7625,106.2708,11.71,11.71,72,92,10.89,1612047493
31,Saldanha,ZA,-33.0117,17.9442,64.69,64.69,0,91,5.06,1612047022
32,Grand Gaube,MU,-20.0064,57.6608,75.99,75.99,6,87,3.0,1612047308
33,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,-34.6,40,67,2.3,1612047332
34,Arraial do Cabo,BR,-22.9661,-42.0278,77.88,77.88,47,78,27.98,1612047073
35,Porto-Novo,BJ,6.4965,2.6036,84.2,84.2,20,84,10.36,1612047251
36,Katsuura,JP,35.1333,140.3,35.6,35.6,20,60,3.44,1612047334
37,Saint Paul Harbor,US,57.79,-152.4072,33.8,33.8,1,55,23.02,1612047323
38,Margate,GB,51.3813,1.3862,38.43,39.0,86,80,5.99,1612047443
39,Kahului,US,20.8947,-156.47,73.76,78.8,40,61,20.71,1612047255
40,Ternate,ID,0.8,127.4,79.18,79.18,100,78,6.08,1612047505
41,Beringovskiy,RU,63.05,179.3167,8.2,8.2,100,95,26.42,1612047340
42,Khatanga,RU,71.9667,102.5,-46.62,-46.62,29,78,1.28,1612047333
43,Avarua,CK,-21.2078,-159.775,78.8,78.8,75,78,5.75,1612047314
44,Nabire,ID,-3.3667,135.4833,78.8,78.8,97,85,2.95,1612047509
45,Laas,IT,46.6166,10.7002,35.56,41.0,90,100,2.13,1612047325
46,Pudozh,RU,61.8099,36.5345,12.87,12.87,41,96,4.72,1612047511
47,Ushuaia,AR,-54.8,-68.3,51.8,51.8,20,62,25.32,1612047163
48,Berdigestyakh,RU,62.0989,126.6992,-45.81,-45.81,75,76,1.28,1612047319
49,Saskylakh,RU,71.9167,114.0833,-35.66,-35.66,100,81,10.89,1612047350
50,Tiksi,RU,71.6872,128.8694,-28.16,-28.16,100,86,5.03,1612047338
51,Port Alfred,ZA,-33.5906,26.891,64.0,64.0,30,92,2.33,1612047312
52,Yellowknife,CA,62.456,-114.3525,-10.7,-9.99,75,77,4.61,1612047288
53,Kapaa,US,22.0752,-159.319,76.64,78.8,75,65,16.11,1612047339
54,Ostrovnoy,RU,68.0531,39.5131,14.41,14.41,100,95,8.57,1612047324
55,Dikson,RU,73.5069,80.5464,-35.52,-35.52,0,80,7.65,1612047319
56,Upernavik,GL,72.7868,-56.1549,-9.83,-9.83,26,84,6.22,1612047343
57,Jamestown,US,42.097,-79.2353,19.65,19.99,40,73,2.01,1612047187
58,Nadym,RU,65.5333,72.5167,-18.72,-18.72,100,85,20.38,1612047525
59,Chabahar,IR,25.2919,60.643,67.24,67.24,0,71,5.44,1612047526
60,Chicama,PE,-7.8447,-79.1469,71.6,71.6,56,78,11.5,1612047313
61,Bluff,NZ,-46.6,168.3333,57.16,57.16,100,67,0.98,1612047312
62,Isangel,VU,-19.55,169.2667,82.4,82.4,40,69,9.22,1612047406
63,Chifeng,CN,42.2683,118.9636,11.17,11.17,34,89,3.96,1612047530
64,Nanortalik,GL,60.1432,-45.2371,30.04,30.04,100,90,9.1,1612047312
65,Tyukhtet,RU,56.5389,89.3011,-29.69,-29.69,0,83,5.55,1612047532
66,Raudeberg,NO,61.9875,5.1352,33.01,33.01,100,93,10.63,1612047534
67,Vestmanna,FO,62.1564,-7.1664,33.8,33.8,75,75,20.71,1612047321
68,Atuona,PF,-9.8,-139.0333,78.93,78.93,28,76,19.55,1612047311
69,Khāsh,IR,28.2211,61.2158,49.95,49.95,0,46,6.91,1612047503
70,Tamiahua,MX,21.2667,-97.45,74.21,74.21,100,82,9.6,1612047538
71,Kuril'sk,RU,45.2333,147.8833,19.71,19.71,100,95,18.88,1612047539
72,Douentza,ML,14.9951,-2.9517,65.17,65.17,0,24,4.16,1612047540
73,Acaraú,BR,-2.8856,-40.12,79.79,79.79,87,79,13.02,1612047542
74,Binghamton,US,42.0987,-75.918,15.24,17.6,1,67,10.36,1612047536
75,Kuytun,RU,54.3419,101.5036,-30.46,-30.46,100,83,9.22,1612047544
76,Japura,ID,-0.3167,102.35,71.35,71.35,96,98,2.33,1612047545
77,Port Lincoln,AU,-34.7333,135.8667,63.66,63.66,2,71,17.07,1612047321
78,Rikitea,PF,-23.1203,-134.9692,79.12,79.12,22,74,12.33,1612047311
79,Bo Phloi,TH,14.3236,99.5161,75.99,75.99,2,55,4.29,1612047549
80,Ust-Nera,RU,64.5667,143.2,-22.47,-22.47,100,77,8.1,1612047550
81,Salalah,OM,17.0151,54.0924,68.0,68.0,0,64,5.75,1612047551
82,Mulegé,MX,26.8833,-111.9833,63.63,63.63,59,52,13.35,1612047552
83,Srednekolymsk,RU,67.45,153.6833,-33.93,-33.93,100,83,2.73,1612047352
84,Ossora,RU,59.2353,163.0719,-0.65,-0.65,99,89,29.97,1612047554
85,Orissaare,EE,58.5592,23.0826,27.77,28.4,75,100,5.75,1612047556
86,Hermanus,ZA,-34.4187,19.2345,66.99,66.99,3,84,9.86,1612047313
87,Yantal',RU,56.8471,105.2542,-42.5,-42.5,58,76,2.44,1612047558
88,Qaanaaq,GL,77.484,-69.3632,-5.91,-5.91,94,72,2.48,1612047333
89,Tasiilaq,GL,65.6145,-37.6368,21.2,21.2,90,38,21.85,1612047338
90,Muros,ES,42.7762,-9.0603,55.51,55.99,99,76,3.0,1612047561
91,Mar del Plata,AR,-38.0023,-57.5575,62.13,62.6,75,59,18.41,1612047328
92,Kavieng,PG,-2.5744,150.7967,83.25,83.25,100,73,14.32,1612047327
93,Pitkyaranta,RU,61.5734,31.4792,21.27,21.27,100,98,5.41,1612047564
94,Kushiro,JP,42.975,144.3747,12.2,12.2,20,79,3.44,1612047566
95,Port-Cartier,CA,50.0334,-66.8654,17.76,19.4,37,58,8.05,1612047364
96,Fairbanks,US,64.8378,-147.7164,-5.08,-2.99,90,71,3.44,1612047215
97,Bambous Virieux,MU,-20.3428,57.7575,77.47,78.8,40,89,11.79,1612047569
98,Punta Arenas,CL,-53.15,-70.9167,55.2,55.4,0,58,21.85,1612047048
99,Vanimo,PG,-2.6741,141.3028,81.64,81.64,100,77,6.46,1612047571
100,Upata,VE,8.0086,-62.3989,75.0,75.0,71,95,3.0,1612047401
101,Cape Town,ZA,-33.9258,18.4232,68.47,71.01,75,77,1.14,1612047078
102,Dunedin,NZ,-45.8742,170.5036,61.0,61.0,49,70,18.99,1612047083
103,Lac du Bonnet,CA,50.2536,-96.0612,25.0,25.0,100,100,2.21,1612047576
104,Taltal,CL,-25.4,-70.4833,69.58,69.58,22,66,5.3,1612047577
105,Naryan-Mar,RU,67.6713,53.087,1.2,1.2,99,93,11.72,1612047418
106,Norman Wells,CA,65.282,-126.8329,-25.6,-25.6,40,68,3.44,1612047355
107,Mahébourg,MU,-20.4081,57.7,78.8,78.8,40,89,11.72,1612047308
108,Port Augusta,AU,-32.5,137.7667,66.2,66.2,100,68,12.66,1612047581
109,Chokurdakh,RU,70.6333,147.9167,-29.07,-29.07,57,86,7.9,1612047356
110,Touros,BR,-5.1989,-35.4608,80.6,80.6,0,78,8.05,1612047190
111,Adeje,ES,28.1227,-16.726,59.29,64.4,40,77,12.66,1612047585
112,Bozoum,CF,6.3193,16.3799,71.35,71.35,99,28,2.15,1612047586
113,Minzhu,CN,43.7286,127.3447,-11.06,-11.06,61,87,2.35,1612047587
114,Santarém,BR,-2.4431,-54.7083,80.6,80.6,0,83,5.75,1612047311
115,Hithadhoo,MV,-0.6,73.0833,81.55,81.55,63,80,15.95,1612047334
116,Oistins,BB,13.0667,-59.5333,80.6,80.6,40,65,13.8,1612047486
117,Saint-Pierre,RE,-21.3393,55.4781,76.57,78.8,0,65,6.91,1612047384
118,Gubkinskiy,RU,64.434,76.5026,-20.13,-20.13,100,85,18.86,1612047593
119,Taoudenni,ML,22.6783,-3.9836,69.51,69.51,0,22,10.74,1612047328
120,Fortuna,US,40.5982,-124.1573,54.93,55.99,90,71,18.41,1612047329
121,Pevek,RU,69.7008,170.3133,-32.84,-32.84,2,84,3.74,1612047316
122,Airai,TL,-8.9266,125.4092,61.66,61.66,100,100,5.12,1612047316
123,Kaitangata,NZ,-46.2817,169.8464,61.0,61.0,68,78,8.99,1612047326
124,Samarinda,ID,-0.5,117.15,72.39,72.39,100,96,2.93,1612047600
125,Ribeira Grande,PT,38.5167,-28.7,63.14,63.14,56,90,22.77,1612047329
126,Nikolskoye,RU,59.7035,30.7861,25.84,26.6,75,93,6.71,1612047316
127,Thompson,CA,55.7435,-97.8558,15.8,15.8,90,86,3.44,1612047321
128,Lochgilphead,GB,56.038,-5.4321,32.31,33.01,20,93,8.05,1612047607
129,Camalú,MX,30.85,-116.0667,60.01,60.01,0,54,8.01,1612047609
130,Bredasdorp,ZA,-34.5322,20.0403,66.99,66.99,6,84,6.35,1612047312
131,Kysyl-Syr,RU,63.8986,122.7617,-52.94,-52.94,50,75,2.59,1612047611
132,Berlevåg,NO,70.8578,29.0864,24.85,24.85,100,96,21.05,1612047613
133,Barrow,US,71.2906,-156.7887,-9.4,-9.4,90,70,9.22,1612047318
134,Sangar,RU,63.9242,127.4739,-49.77,-49.77,68,76,3.42,1612047373
135,Denpasar,ID,-8.65,115.2167,80.6,80.6,75,83,12.66,1612047616
136,Turukhansk,RU,65.8167,87.9833,-32.35,-32.35,0,76,5.08,1612047432
137,City of San Pedro,PH,14.35,121.0167,71.19,71.6,20,78,2.3,1612047619
138,Lalibela,ET,12.0333,39.0333,49.01,49.01,0,50,2.28,1612047620
139,Klungkung,ID,-8.5333,115.4,80.6,80.6,75,83,12.66,1612047621
140,Cidreira,BR,-30.1811,-50.2056,75.16,75.16,83,91,7.25,1612047345
141,Grindavik,IS,63.8424,-22.4338,21.2,21.2,0,73,5.75,1612047328
142,Geraldton,AU,-28.7667,114.6,84.2,84.2,0,28,8.05,1612047341
143,East London,ZA,-33.0153,27.9116,69.87,69.87,2,83,2.01,1612047311
144,Chui,UY,-33.6971,-53.4616,73.92,73.92,58,75,14.9,1612047070
145,Ulladulla,AU,-35.35,150.4667,65.73,66.2,90,100,12.66,1612047628
146,Alice Springs,AU,-23.7,133.8833,84.2,84.2,23,26,18.41,1612047370
147,Ucluelet,CA,48.9329,-125.5528,43.57,44.01,90,93,11.5,1612047605
148,Astara,AZ,38.5,48.6667,42.8,42.8,90,100,3.44,1612047631
149,Tautira,PF,-17.7333,-149.15,86.0,86.0,75,62,12.66,1612047632
150,Kiunga,PG,-6.1219,141.2906,78.73,78.73,92,86,2.77,1612047634
151,Morondava,MG,-20.2833,44.2833,80.96,80.96,65,76,3.06,1612047372
152,Mataram,ID,-8.5833,116.1167,77.0,77.0,75,94,8.05,1612047636
153,Port Shepstone,ZA,-30.7414,30.455,75.79,75.79,79,84,2.24,1612047637
154,Salinas,US,36.6777,-121.6555,56.66,59.0,75,55,3.44,1612047423
155,Cap-aux-Meules,CA,47.3821,-61.8597,24.8,24.8,100,86,25.32,1612047639
156,Okhotsk,RU,59.3833,143.3,-12.39,-12.39,0,79,17.07,1612047640
157,Puerto Ayora,EC,-0.7393,-90.3518,81.57,84.2,0,70,12.66,1612047331
158,High Rock,BS,26.6208,-78.2833,68.0,68.0,75,52,11.5,1612047643
159,Marathon,US,44.9,-89.7668,28.76,30.0,90,69,17.27,1612047644
160,Sittwe,MM,20.15,92.9,66.56,66.56,100,62,10.11,1612047365
161,Cabedelo,BR,-6.9811,-34.8339,80.6,80.6,0,78,8.05,1612047381
162,College,US,64.8569,-147.8028,-5.55,-4.0,90,77,3.44,1612047638
163,Port Moresby,PG,-9.4431,147.1797,73.4,73.4,90,100,8.05,1612047385
164,The Valley,AI,18.217,-63.0578,77.52,78.8,40,78,5.75,1612047355
165,Tessalit,ML,20.1986,1.0114,63.95,63.95,21,22,12.91,1612047347
166,Guerrero Negro,MX,27.9769,-114.0611,63.61,63.61,61,53,16.31,1612047343
167,Lavrentiya,RU,65.5833,-171.0,-17.37,-17.37,0,83,5.46,1612047379
168,Saint-Philippe,RE,-21.3585,55.7679,73.38,78.8,0,65,6.91,1612047341
169,Klaksvík,FO,62.2266,-6.589,33.8,33.8,75,75,20.71,1612047335
170,Kerema,PG,-7.9631,145.7785,76.57,76.57,99,86,6.42,1612047656
171,Lamont,US,35.2597,-118.9143,61.95,64.0,1,41,5.75,1612047658
172,Aku,NG,6.7081,7.3167,77.0,77.0,0,44,4.61,1612047659
173,Pangnirtung,CA,66.1451,-65.7125,-9.51,-9.51,0,74,1.97,1612047313
174,Båtsfjord,NO,70.6345,29.7185,22.75,22.75,100,95,18.39,1612047661
175,La Palma,US,33.8464,-118.0467,61.57,64.4,1,67,6.91,1612047663
176,Aripuanã,BR,-9.1667,-60.6333,75.99,75.99,92,98,1.32,1612047664
177,Tuatapere,NZ,-46.1333,167.6833,63.09,63.09,93,51,1.72,1612047332
178,Esperance,AU,-33.8667,121.9,57.2,57.2,0,88,12.66,1612047312
179,Half Moon Bay,US,37.4636,-122.4286,56.35,59.0,90,71,9.22,1612047374
180,Olafsvik,IS,64.8945,-23.7142,22.96,22.96,4,90,17.52,1612047357
181,Iqaluit,CA,63.7506,-68.5145,-7.29,-7.01,1,71,17.27,1612047314
182,Narsaq,GL,60.9167,-46.05,41.0,41.0,75,30,35.68,1612047329
183,Palm Beach,US,26.6503,-80.4498,66.67,66.99,57,71,3.0,1612047672
184,Čáslav,CZ,49.911,15.3897,28.85,32.0,75,74,5.75,1612047673
185,Guibéroua,CI,6.2392,-6.1727,76.71,76.71,100,81,3.85,1612047674
186,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,80.01,80.01,47,65,4.0,1612047675
187,Olavarría,AR,-36.8927,-60.3225,64.0,64.0,100,50,5.99,1612047676
188,Port Blair,IN,11.6667,92.75,78.35,78.35,7,81,6.35,1612047324
189,San Cristobal,VE,7.7669,-72.225,82.4,82.4,40,61,10.36,1612047360
190,Taraz,KZ,42.9,71.3667,41.0,41.0,90,38,6.71,1612047680
191,Hambantota,LK,6.1241,81.1185,77.25,77.25,97,80,12.39,1612047344
192,Aykhal,RU,66.0,111.5,-33.48,-33.48,80,80,13.06,1612047665
193,Kiryat Gat,IL,31.61,34.7642,54.14,55.99,0,58,5.01,1612047423
194,Skellefteå,SE,64.7507,20.9528,11.5,14.0,90,85,5.75,1612047384
195,Hede,CN,33.7681,120.2517,41.9,41.9,99,67,5.73,1612047685
196,Gaoua,BF,10.2992,-3.2508,77.61,77.61,0,17,4.92,1612047686
197,Severo-Kuril'sk,RU,50.6789,156.125,23.58,23.58,99,95,31.92,1612047322
198,Kutum,SD,14.2,24.6667,53.46,53.46,0,36,5.32,1612047689
199,Cockburn Town,TC,21.4612,-71.1419,73.4,73.4,20,60,11.5,1612047670
200,Oktyabr'skoye,RU,43.0645,44.7417,37.2,37.4,15,87,6.71,1612047691
201,Estreito,BR,-5.7833,-43.25,74.35,74.35,100,92,2.17,1612047692
202,Banjar,ID,-8.19,114.9675,80.6,80.6,75,83,12.66,1612047693
203,Lancaster,US,40.2504,-76.2499,27.79,32.0,1,37,5.75,1612047694
204,Bubaque,GW,11.2833,-15.8333,79.45,79.45,15,60,11.7,1612047696
205,Mahibadhoo,MV,3.7833,72.9667,80.38,80.38,16,77,13.65,1612047370
206,Faanui,PF,-16.4833,-151.75,81.14,81.14,76,72,8.03,1612047357
207,Haines Junction,CA,60.7522,-137.5108,1.4,1.4,100,66,2.3,1612047350
208,Hofn,IS,64.2539,-15.2082,20.37,20.37,87,83,17.98,1612047383
209,Ishigaki,JP,24.3448,124.1572,66.2,66.2,75,63,11.5,1612047701
210,Pedernales,DO,18.0384,-71.744,77.72,77.72,41,66,3.15,1612047702
211,Lázaro Cárdenas,MX,17.9583,-102.2,82.06,82.06,23,65,6.04,1612047383
212,Darhan,MN,49.4867,105.9228,-1.88,-1.88,100,81,8.79,1612047704
213,Kruisfontein,ZA,-34.0033,24.7314,61.0,61.0,1,87,1.99,1612047319
214,San Patricio,US,28.017,-97.5169,80.82,84.2,40,58,14.97,1612047313
215,Pacific Grove,US,36.6177,-121.9166,55.02,55.99,90,62,9.22,1612047210
216,Puerto Baquerizo Moreno,EC,-0.9,-89.6,82.4,82.4,40,83,12.66,1612047698
217,Lompoc,US,34.6391,-120.4579,55.31,57.2,40,62,3.33,1612047115
218,Prome,MM,18.8167,95.2167,63.01,63.01,91,45,1.74,1612047711
219,Huarmey,PE,-10.0681,-78.1522,74.23,74.23,69,68,10.98,1612047338
220,Örnsköldsvik,SE,63.2909,18.7153,14.0,14.0,90,92,9.22,1612047714
221,Cabo San Lucas,MX,22.8909,-109.9124,74.48,75.2,20,57,11.5,1612047321
222,Progreso,MX,21.2833,-89.6667,84.09,84.2,75,39,9.22,1612047426
223,Oulu,FI,65.0124,25.4682,16.75,17.6,90,86,3.44,1612047717
224,Jalu,LY,29.0331,21.5482,60.46,60.46,0,42,10.98,1612047329
225,Bud,US,39.447,-86.1758,30.99,30.99,100,95,13.33,1612047719
226,Marystown,CA,47.1666,-55.1483,30.49,30.49,100,94,8.81,1612047720
227,Kasongo-Lunda,CD,-6.4667,16.8167,69.64,69.64,100,94,0.92,1612047339
228,Kondinskoye,RU,59.6481,67.41,12.83,12.83,100,96,10.11,1612047723
229,Beyneu,KZ,45.3167,55.2,33.98,33.98,100,93,9.64,1612047353
230,Capiíbary,PY,-24.8,-56.0333,76.62,76.62,20,86,7.7,1612047725
231,Imbituba,BR,-28.24,-48.6703,80.6,80.6,0,83,4.61,1612047726
232,North Bend,US,43.4065,-124.2243,50.0,51.8,90,76,10.65,1612047315
233,Codrington,AU,-38.2667,141.9667,62.17,62.17,67,64,7.34,1612047317
234,Ilabaya,PE,-17.4208,-70.5133,69.91,69.91,38,47,5.19,1612047729
235,Moose Factory,CA,51.2585,-80.6094,-4.0,-4.0,1,77,6.91,1612047730
236,Cayenne,GF,4.9333,-52.3333,80.6,80.6,90,89,9.22,1612047317
237,São Gabriel da Cachoeira,BR,-0.1303,-67.0892,81.93,81.93,65,68,1.81,1612047733
238,Lagoa,PT,39.05,-27.9833,61.79,61.79,82,92,27.02,1612047339
239,Tommot,RU,58.9564,126.2925,-45.49,-45.49,70,74,0.89,1612047735
240,Hong Kong,HK,22.2855,114.1577,59.38,62.01,0,65,15.28,1612047063
241,Bata,GQ,1.8639,9.7658,78.8,78.8,75,100,6.98,1612047446
242,Harrismith,ZA,-28.2728,29.1295,62.71,62.71,99,87,2.13,1612047738
243,Saint-Joseph,RE,-21.3667,55.6167,73.49,78.8,0,65,6.91,1612047355
244,Biryusinsk,RU,55.9634,97.8235,-39.5,-39.5,41,80,2.84,1612047741
245,Gravdal,NO,68.1214,13.5031,26.49,26.49,0,89,5.17,1612047742
246,Juneau,US,58.3019,-134.4197,27.88,32.0,90,86,3.44,1612047226
247,Shāhpura,IN,27.3833,75.9667,48.2,48.2,0,57,1.05,1612047744
248,Roald,NO,62.5833,6.1333,27.14,30.0,20,93,5.75,1612047646
249,Port Hardy,CA,50.6996,-127.4199,44.6,44.6,75,81,18.41,1612047377
250,Katangli,RU,51.7102,143.2326,-6.92,-6.92,100,88,10.63,1612047747
251,Nome,US,64.5011,-165.4064,-15.29,-9.4,1,77,3.44,1612047642
252,Diffa,NE,13.3154,12.6113,68.07,68.07,0,25,10.29,1612047740
253,Broken Hill,AU,-31.95,141.4333,66.2,66.2,86,55,12.66,1612047369
254,Carnot,CF,4.9409,15.8665,77.97,77.97,99,30,1.21,1612047752
255,Iracoubo,GF,5.4802,-53.2011,78.21,78.21,100,86,14.32,1612047753
256,Ancud,CL,-41.8697,-73.8203,61.47,64.4,0,52,8.05,1612047611
257,Ahipara,NZ,-35.1667,173.1667,70.48,70.48,0,48,5.64,1612047370
258,Smoky Lake,CA,54.1169,-112.4686,5.65,6.8,0,85,6.91,1612047563
259,Gorontalo,ID,0.5412,123.0595,73.89,73.89,100,80,2.44,1612047691
260,Biggar,GB,55.6167,-3.5167,30.61,32.0,56,10,3.58,1612047758
261,Solnechnyy,RU,50.7214,136.6319,-16.2,-16.2,49,86,4.05,1612047680
262,Carnarvon,AU,-24.8667,113.6333,80.6,80.6,15,94,1.32,1612047316
263,Necochea,AR,-38.5473,-58.7368,62.01,62.01,100,59,14.0,1612047373
264,Hualmay,PE,-11.0964,-77.6139,73.87,73.87,68,70,11.79,1612047318
265,Bannu,PK,32.9854,70.6027,47.73,47.73,8,46,1.14,1612047616
266,Tabuk,PH,17.4189,121.4443,63.52,63.52,100,88,3.13,1612047765
267,Itarema,BR,-2.9248,-39.9167,79.61,79.61,85,79,11.92,1612047659
268,Lincoln,US,40.8,-96.667,33.37,34.0,90,86,26.46,1612047345
269,Recreio,BR,-21.525,-42.4692,75.49,75.49,11,77,4.27,1612047769
270,Aksarka,RU,66.5606,67.7975,-17.16,-17.16,100,88,10.8,1612047678
271,Karratha,AU,-20.7377,116.8463,87.3,87.3,100,50,5.21,1612047348
272,Port Macquarie,AU,-31.4333,152.9167,81.46,82.99,47,73,1.99,1612047353
273,Bengkulu,ID,-3.8004,102.2655,75.24,75.24,98,93,10.16,1612047300
274,San Francisco Ixhuatan,MX,16.3569,-94.4825,87.46,87.46,100,46,8.52,1612047774
275,Lorengau,PG,-2.0226,147.2712,84.13,84.13,98,75,11.21,1612047337
276,Hay River,CA,60.8156,-115.7999,-9.4,-9.4,18,64,5.75,1612047687
277,Kirakira,SB,-10.4544,161.9205,84.22,84.22,100,74,7.2,1612047370
278,Quatre Cocos,MU,-20.2078,57.7625,77.32,78.8,40,89,11.52,1612047349
